MESS_DATUM;season;year;month;day;hour;hour_sin;hour_cos;prev_temp;prev_hum;temp;humidity;coverage_class;coverage;range;wind_dir;wind_str;prec
1977121907;4;1977;12;19;7;0.9659258262890683;-0.25881904510252063;4.8;85.0;6.3;88.0;4;8;6.0;24.0;2.0;0.1
1977121914;4;1977;12;19;14;-0.4999999999999997;-0.8660254037844388;6.3;88.0;6.4;81.0;4;8;6.0;20.0;2.0;0.1
1977121921;4;1977;12;19;21;-0.7071067811865477;0.7071067811865474;6.4;81.0;5.2;94.0;4;8;6.0;20.0;2.0;0.1
1977122007;4;1977;12;20;7;0.9659258262890683;-0.25881904510252063;5.2;94.0;4.7;99.0;4;8;3.0;0.0;0.0;0.0
1977122014;4;1977;12;20;14;-0.4999999999999997;-0.8660254037844388;4.7;99.0;5.0;97.0;4;8;2.0;0.0;0.0;0.0
1977122021;4;1977;12;20;21;-0.7071067811865477;0.7071067811865474;5.0;97.0;4.4;97.0;4;8;2.0;0.0;0.0;0.0
1977122107;4;1977;12;21;7;0.9659258262890683;-0.25881904510252063;4.4;97.0;3.1;97.0;4;8;2.0;16.0;2.0;0.0
1977122114;4;1977;12;21;14;-0.4999999999999997;-0.8660254037844388;3.1;97.0;4.2;90.0;2;4;5.0;12.0;3.0;0.0
1977122121;4;1977;12;21;21;-0.7071067811865477;0.7071067811865474;4.2;90.0;2.2;92.0;2;5;5.0;12.0;4.0;0.0
1977122207;4;1977;12;22;7;0.9659258262890683;-0.25881904510252063;2.2;92.0;1.0;93.0;3;7;4.0;12.0;4.0;0.4
1977122214;4;1977;12;22;14;-0.4999999999999997;-0.8660254037844388;1.0;93.0;1.3;85.0;1;3;4.0;16.0;2.0;0.4
1977122221;4;1977;12;22;21;-0.7071067811865477;0.7071067811865474;1.3;85.0;1.9;97.0;4;8;1.0;16.0;2.0;0.4
1977122307;4;1977;12;23;7;0.9659258262890683;-0.25881904510252063;1.9;97.0;5.2;99.0;0;0;1.0;16.0;2.0;1.9
1977122314;4;1977;12;23;14;-0.4999999999999997;-0.8660254037844388;5.2;99.0;4.7;94.0;4;8;4.0;12.0;3.0;1.9
1977122321;4;1977;12;23;21;-0.7071067811865477;0.7071067811865474;4.7;94.0;6.4;97.0;4;8;4.0;20.0;4.0;1.9
1977122407;4;1977;12;24;7;0.9659258262890683;-0.25881904510252063;6.4;97.0;13.6;91.0;4;8;7.0;20.0;8.0;0.4
1977122414;4;1977;12;24;14;-0.4999999999999997;-0.8660254037844388;13.6;91.0;10.2;71.0;4;8;7.0;20.0;8.0;0.4
1977122421;4;1977;12;24;21;-0.7071067811865477;0.7071067811865474;10.2;71.0;8.7;75.0;2;5;7.0;20.0;6.0;0.4
1977122507;4;1977;12;25;7;0.9659258262890683;-0.25881904510252063;8.7;75.0;7.6;83.0;2;6;7.0;28.0;6.0;0.0
1977122514;4;1977;12;25;14;-0.4999999999999997;-0.8660254037844388;7.6;83.0;7.7;81.0;1;2;7.0;28.0;3.0;0.0
1977122521;4;1977;12;25;21;-0.7071067811865477;0.7071067811865474;7.7;81.0;6.4;88.0;2;4;7.0;28.0;2.0;0.0
1977122607;4;1977;12;26;7;0.9659258262890683;-0.25881904510252063;6.4;88.0;6.5;88.0;4;8;7.0;20.0;3.0;1.1
1977122614;4;1977;12;26;14;-0.4999999999999997;-0.8660254037844388;6.5;88.0;6.8;84.0;2;4;7.0;28.0;3.0;1.1
1977122621;4;1977;12;26;21;-0.7071067811865477;0.7071067811865474;6.8;84.0;5.4;90.0;2;6;7.0;20.0;2.0;1.1
1977122707;4;1977;12;27;7;0.9659258262890683;-0.25881904510252063;5.4;90.0;5.7;94.0;4;8;7.0;20.0;2.0;2.7
1977122714;4;1977;12;27;14;-0.4999999999999997;-0.8660254037844388;5.7;94.0;4.6;91.0;4;8;6.0;12.0;4.0;2.7
1977122721;4;1977;12;27;21;-0.7071067811865477;0.7071067811865474;4.6;91.0;3.9;85.0;0;0;7.0;24.0;2.0;2.7
1977122807;4;1977;12;28;7;0.9659258262890683;-0.25881904510252063;3.9;85.0;4.6;75.0;4;8;7.0;20.0;6.0;0.3
1977122814;4;1977;12;28;14;-0.4999999999999997;-0.8660254037844388;4.6;75.0;3.6;86.0;4;8;6.0;12.0;3.0;0.3
1977122821;4;1977;12;28;21;-0.7071067811865477;0.7071067811865474;3.6;86.0;3.1;94.0;4;8;6.0;8.0;2.0;0.3
1977122907;4;1977;12;29;7;0.9659258262890683;-0.25881904510252063;3.1;94.0;3.0;84.0;4;8;7.0;28.0;4.0;5.6
1977122914;4;1977;12;29;14;-0.4999999999999997;-0.8660254037844388;3.0;84.0;2.3;87.0;4;8;6.0;24.0;3.0;5.6
1977122921;4;1977;12;29;21;-0.7071067811865477;0.7071067811865474;2.3;87.0;4.0;95.0;4;8;7.0;24.0;3.0;5.6
1977123007;4;1977;12;30;7;0.9659258262890683;-0.25881904510252063;4.0;95.0;2.6;92.0;4;8;7.0;24.0;3.0;0.7
1977123014;4;1977;12;30;14;-0.4999999999999997;-0.8660254037844388;2.6;92.0;1.5;92.0;2;5;7.0;28.0;5.0;0.7
1977123021;4;1977;12;30;21;-0.7071067811865477;0.7071067811865474;1.5;92.0;2.6;89.0;0;0;7.0;28.0;3.0;0.7
1977123107;4;1977;12;31;7;0.9659258262890683;-0.25881904510252063;2.6;89.0;0.4;77.0;0;0;7.0;28.0;3.0;0.0
1977123114;4;1977;12;31;14;-0.4999999999999997;-0.8660254037844388;0.4;77.0;3.2;63.0;2;4;7.0;28.0;4.0;0.0
1977123121;4;1977;12;31;21;-0.7071067811865477;0.7071067811865474;3.2;63.0;-0.6;85.0;0;0;7.0;0.0;0.0;0.0
1978010107;4;1978;1;1;7;0.9659258262890683;-0.25881904510252063;-0.6;85.0;0.6;95.0;0;0;7.0;24.0;2.0;0.9
1978010114;4;1978;1;1;14;-0.4999999999999997;-0.8660254037844388;0.6;95.0;4.3;99.0;4;8;2.0;24.0;3.0;0.9
1978010121;4;1978;1;1;21;-0.7071067811865477;0.7071067811865474;4.3;99.0;6.9;83.0;4;8;6.0;28.0;4.0;0.9
1978010207;4;1978;1;2;7;0.9659258262890683;-0.25881904510252063;6.9;83.0;6.3;92.0;4;8;6.0;24.0;2.0;3.3
1978010214;4;1978;1;2;14;-0.4999999999999997;-0.8660254037844388;6.3;92.0;5.5;89.0;4;8;6.0;28.0;3.0;3.3
1978010221;4;1978;1;2;21;-0.7071067811865477;0.7071067811865474;5.5;89.0;4.1;88.0;2;4;6.0;24.0;3.0;3.3
